1,36.81897,10.16579
2,36.82011,10.17022
3,36.82155,10.17377
4,36.82310,10.17644
5,36.82588,10.17811
6,36.82855,10.17999
7,36.83021,10.18255
8,36.83211,10.18533
9,36.83388,10.18822
10,36.83577,10.19044
11,36.83744,10.19311
12,36.83899,10.19644
13,36.84055,10.19955
14,36.84233,10.20222
15,36.84399,10.20588
16,36.84555,10.20855
17,36.84711,10.21133
18,36.84866,10.21422
19,36.85033,10.21744
20,36.85211,10.21999
21,36.85399,10.22255
22,36.85611,10.22533
23,36.85766,10.22855
24,36.85955,10.23088
25,36.86111,10.23355
26,36.86288,10.23644
27,36.86433,10.23955
28,36.86621,10.24222
29,36.86811,10.24499
30,36.87021,10.24733
31,36.87199,10.24977
32,36.87377,10.25244
33,36.87533,10.25511
34,36.87699,10.25799
35,36.87911,10.26055
36,36.88121,10.26288
37,36.88333,10.26522
38,36.88488,10.26811
39,36.88655,10.27055
40,36.88844,10.27333
41,36.89033,10.27588
42,36.89211,10.27833
43,36.89433,10.28111
44,36.89601,10.28399
45,36.89755,10.28633
46,36.89911,10.28855
47,36.90088,10.29111
48,36.90299,10.29355
49,36.90444,10.29633
50,36.90622,10.29888

